portfolio_size,run,std_dev,mean_return
1,0,0.2831512618457229,1.0866839389137788
2,0,0.22266248848284115,1.0431214374882793
3,0,0.18817707293113878,1.059880114694142
4,0,0.16812686479104572,1.049840151220218
5,0,0.15707720318943044,1.058377091420827
6,0,0.1546971671482398,1.063286117646326
7,0,0.14262896119799695,1.0616944785430056
8,0,0.1407991246543692,1.0673441188063197
9,0,0.1303743286827437,1.0656507722052102
10,0,0.13404231141476325,1.0706735311013695
11,0,0.13360752847639498,1.071802840066613
12,0,0.12812257442699598,1.0696613679794695
13,0,0.1250766625204323,1.0716309971267564
14,0,0.1280255871089933,1.075429071075319
15,0,0.13206113415679666,1.0765272423469845
16,0,0.12798094019030973,1.0753016454552191
17,0,0.12364506166224948,1.072971871336538
18,0,0.12863313538684162,1.0749008485940454
19,0,0.13475376584623922,1.0739173974666787
20,0,0.135380687090395,1.0771644110114917
21,0,0.1381717445576797,1.0792024816883241
22,0,0.13537430598856373,1.0794815021546922
23,0,0.13232249860712833,1.0780270800975102
24,0,0.13583864479223515,1.0767211182664367
25,0,0.13494453455451996,1.0756041962488898
26,0,0.13387359990600373,1.0717936549997646
27,0,0.13111312017405954,1.0702510837632155
28,0,0.12741338525028484,1.0696472990041241
29,0,0.12765926187964313,1.0695548930674357
30,0,0.12551699337516536,1.069107185347935
31,0,0.12437088282050743,1.068433430859071
32,0,0.12236693355920203,1.0678200355460066
33,0,0.12177285665166353,1.0686211095493334
34,0,0.12096607205222239,1.0680571179419855
35,0,0.11980221551333593,1.068212307815365
36,0,0.11743183277376382,1.0682489553559136
37,0,0.11633581546215267,1.0695121164337023
38,0,0.11697312499112868,1.0691719559239892
39,0,0.11732783842229919,1.0693150029937075
40,0,0.11664257581952225,1.0692274549883567
1,1,0.23399270750293572,1.046246155530902
2,1,0.2013709336887991,1.028164156110491
3,1,0.1528966169605885,1.0388599541944947
4,1,0.16375963957312367,1.0623211178668384
5,1,0.1594081980525222,1.0538582751008045
6,1,0.14714731646595244,1.0541538936214723
7,1,0.1344222716630983,1.0541970215729388
8,1,0.12361827162218911,1.0551213255309624
