portfolio_size,run,std_dev,mean_return
1,0,0.28363205826821863,1.0683660244556645
2,0,0.22265227888199443,1.0307438014668042
3,0,0.18773599773273125,1.0472630248581827
4,0,0.1681270741948659,1.0380490238348183
5,0,0.15669730698222098,1.04641031769517
6,0,0.15430857034433829,1.0505736802006629
7,0,0.14200717137814045,1.0479827925354848
8,0,0.14083087560343843,1.052268043247674
9,0,0.1302076699370427,1.04944343038784
10,0,0.13371658293831584,1.05476927948969
11,0,0.1334842238561934,1.0557711057987988
12,0,0.12802929314710224,1.0525023531319522
13,0,0.12537079642714613,1.0542681979591004
14,0,0.1284127358021376,1.058507864095277
15,0,0.13246519649720548,1.058952103960669
16,0,0.1282571928168333,1.057794537986642
17,0,0.12389250653220125,1.0550298754850804
18,0,0.12897203112084038,1.0572483110306115
19,0,0.13511521127543977,1.0572019787620404
20,0,0.13596308458834083,1.0602934164895714
21,0,0.13873498851016078,1.0620477940199444
22,0,0.13595019149359805,1.0621124687351269
23,0,0.1328339752674494,1.0602531853474646
24,0,0.13638916004094104,1.0587257710969662
25,0,0.13547559683750987,1.057128413041111
26,0,0.13445134751047522,1.053129838154239
27,0,0.13159335635496963,1.051566657963489
28,0,0.12784358727561532,1.0508540246397287
29,0,0.12810761202208035,1.0505269879836254
30,0,0.12592598996548582,1.0500103331700315
31,0,0.12476018465334072,1.0493552492485485
32,0,0.12274698357871146,1.0485851404018278
33,0,0.12209822943787768,1.0496946479303568
34,0,0.12128685997330625,1.0487312125778245
35,0,0.12007867902297158,1.0490668651547521
36,0,0.11776622116884418,1.0487975991138438
37,0,0.11665030778985101,1.049861829587561
38,0,0.11724471967988175,1.0498813553644193
39,0,0.11757421018023095,1.049876100272745
40,0,0.11683936087993671,1.0494526628956296
1,1,0.23399270750293572,1.046246155530902
2,1,0.202245437273425,1.0132536377539705
3,1,0.15311339950654504,1.0243525475071753
4,1,0.16365381830180012,1.0475783393942215
5,1,0.15945828927180264,1.0381778619141289
6,1,0.14704810473161525,1.0374438632611351
7,1,0.13415306623146847,1.037682062561385
8,1,0.12329137763765122,1.038271260621184
9,1,0.13083178241934676,1.0391818618308721
10,1,0.1342352530272213,1.0380800051473933
11,1,0.14672233955378683,1.0431423152458263
12,1,0.14166130995271786,1.0418550165568108
13,1,0.14764674894225727,1.045650705449614
14,1,0.14035065924579562,1.0448363687063214
15,1,0.13546882637283617,1.0452514133150448
16,1,0.13008357198568957,1.0452775566010253
17,1,0.12904601333418464,1.0463813660089085
18,1,0.1317172388091553,1.0470433236832208
19,1,0.12971517888990053,1.046133523165729
20,1,0.13251629117342595,1.0481762876639975
21,1,0.13255264150406434,1.0481099030120207
22,1,0.13265061182952015,1.0496006155051938
23,1,0.12943779541603767,1.0487168108352103
24,1,0.13238572218907085,1.050467266018933
25,1,0.13237005739483135,1.0512357424465004
26,1,0.13219946418698,1.0524469823789775
27,1,0.13426223672274387,1.050139045371283
28,1,0.1340239028074745,1.048180944695758
29,1,0.1326814382716384,1.0484807635786073
30,1,0.13096698322604436,1.0492163886656605
31,1,0.13466908200892183,1.0501471120495778
32,1,0.13274752979260065,1.049898916295513
33,1,0.13131978920195303,1.0498810078135303
34,1,0.1293440394986035,1.0493511835459903
35,1,0.12864568745192814,1.0491342979268898
36,1,0.12666820108382287,1.0491658298249489
37,1,0.12556970510132487,1.0471383676849717
38,1,0.1238834990722548,1.0462066006748287
39,1,0.12429313633417863,1.046319125899807
40,1,0.12496289518534603,1.0451893432004424
1,2,0.16524978207994984,1.0267380032156255
2,2,0.1568841019243798,1.0330188316709514
3,2,0.13873593113985946,1.0355675649446947
4,2,0.13911358410903804,1.049482092196412
5,2,0.12206251715744829,1.0563849447141442
6,2,0.11308641420492595,1.0550391644780357
7,2,0.11447822360568766,1.0557553433980231
8,2,0.11991957569077184,1.0517110431853507
9,2,0.12402950337603066,1.0482492869002775
10,2,0.12699920778276103,1.0498892650132188
11,2,0.12976888195662808,1.0539722342092834
12,2,0.12469664831782673,1.0532579606456351
13,2,0.12293030309848149,1.0528413653587891
14,2,0.1213428756070577,1.0531795072962868
15,2,0.1280596355399631,1.0549087591366546
16,2,0.128789389327176,1.0544666919691268
17,2,0.1255266470713155,1.0547376085922915
18,2,0.12490717544859879,1.0557216860331122
19,2,0.12196172969274136,1.0544605605557633
20,2,0.1214240501903058,1.0538232261357188
21,2,0.12021634077291941,1.051838915361773
22,2,0.11990418903180135,1.0527130988583928
23,2,0.11940763408895111,1.051200781541359
24,2,0.12086111784251312,1.0497714670940548
25,2,0.11911289471179846,1.04891256244764
26,2,0.11742165973355999,1.048379373113829
27,2,0.11791434143924123,1.0502421674463658
28,2,0.11836632264811833,1.050560314664748
